99	27	47	6	58	83	60	3	32	93	95	35	82	52	98	50	59	16	44	56	97	72	41	59	88		
38	42	19	65	45	68	78	72	7	19	36	46	24	57	3	98	70	4	11	65	83	61	9	26	68		
76	91	21	32	78	13	67	28	45	15	98	75	76	42	92	69	9	36	48	2	92	23	51	19	3		
29	75	76	9	87	27	60	50	98	88	78	81	74	14	80	91	23	23	68	77	65	60	36	33	56		
41	75	46	2	23	21	60	42	3	7	29	6	96	90	92	42	45	62	42	3	10	30	4	71	82		
11	51	9	58	15	19	11	9	74	93	90	71	65	79	69	10	26	96	70	62	93	91	22	8	49		
97	23	3	85	64	96	23	32	39	10	27	13	34	57	25	87	50	48	91	49	66	50	81	66	24		
4	75	77	63	70	56	65	90	23	21	26	94	84	69	53	14	69	77	84	45	84	55	83	27	22		
72	92	62	86	3	31	72	92	17	71	48	39	52	98	83	25	80	59	93	36	51	26	57	59	33		
9	99	49	17	59	31	36	95	58	23	19	12	62	4	38	28	90	60	54	97	43	68	37	8	15		
21	46	49	50	80	22	44	72	95	19	53	18	99	76	90	97	93	73	8	58	93	12	47	17	23		
33	1	40	74	33	14	4	2	46	69	82	18	93	5	42	82	12	58	97	70	80	35	2	13	2		
86	75	99	78	89	15	37	77	22	49	44	79	55	60	65	45	72	88	70	52	99	93	66	19	66		
73	13	17	75	71	22	20	44	72	74	90	1	14	25	96	99	28	85	64	2	60	73	17	91	22		
26	76	40	17	36	3	4	68	79	84	80	12	29	70	99	86	23	96	98	94	57	36	24	14	7		
43	57	86	93	84	48	100	26	80	55	80	76	66	68	51	98	8	31	54	57	19	70	33	21	37		
88	46	78	41	6	21	54	41	8	97	91	76	44	6	61	6	25	100	50	13	93	76	3	15	11		
72	37	24	52	13	4	37	55	77	50	8	93	59	6	6	75	28	98	96	100	51	73	15	12	62		
27	78	19	26	60	68	98	66	35	70	26	88	91	99	24	54	85	65	99	62	79	91	69	5	1		
57	18	16	46	21	72	39	98	63	87	3	33	47	77	51	78	79	30	48	97	87	89	5	47	22		
25	99	16	94	4	29	33	66	51	32	67	55	84	59	34	75	74	87	95	89	40	88	19	6	26		
34	26	59	3	52	12	33	15	74	61	32	61	32	12	47	22	59	32	64	98	65	97	11	23	21		
60	21	64	38	77	62	6	22	91	83	3	13	33	40	7	22	14	63	18	28	35	22	6	12	15		
81	85	86	56	53	6	13	19	96	31	24	6	75	61	24	45	28	12	17	16	14	9	31	11	16		
49	18	25	43	12	86	45	21	99	54	44	11	27	11	65	82	46	21	43	3	11	46	27	9	2		
